n p sigma.fun sigma repl USGS USGS-F USGS-PRE
200 1.0 "half" 100 10 0.015792959000009432 0.015797040999586898 0.0014168329998938134
200 1.0 "half" 100 11 0.01563166599999022 0.015432666999913636 0.0012945839998792508
200 1.0 "half" 100 12 0.015649375000066357 0.015537750000021333 0.0012393330002851144
200 1.0 "half" 100 13 0.014792375000070024 0.015187375000095926 0.0012584580003931478
200 1.0 "half" 100 14 0.014469249999820022 0.015088957999978447 0.0012491659999795957
200 1.0 "half" 100 15 0.014373250000062399 0.014989458999934868 0.0012801670000044396
200 1.0 "half" 100 16 0.014441000000260829 0.014978582999901846 0.001274458999887429
200 1.0 "half" 100 17 0.014348749999953725 0.01499941600013699 0.001262959000086994
200 1.0 "half" 100 18 0.015130875000068045 0.017806708000080107 0.0020899169999211153
200 1.0 "half" 100 19 0.017045250000137457 0.016607250000106433 0.0014218340002116747
200 1.0 "half" 100 20 0.015176165999946534 0.015674708999995346 0.0017407500004082976
200 1.0 "half" 100 21 0.015351875000305881 0.015493542000058369 0.0012837500003115565
200 1.0 "half" 100 22 0.014779832999920473 0.015591500000027736 0.0014242080001167778
200 1.0 "half" 100 23 0.01490066599990314 0.015354042000126356 0.0012371669999993173
200 1.0 "half" 100 24 0.01465612499987401 0.015988500000275963 0.001365208999686729
200 1.0 "half" 100 25 0.01483062500028609 0.016039292000186833 0.0013460410000334377
200 1.0 "half" 100 26 0.01473687499992593 0.015177124999809166 0.0012487079998209083
200 1.0 "half" 100 27 0.014517082999645936 0.015123958000003768 0.001206292000006215
200 1.0 "half" 100 28 0.01433691700003692 0.015019499999652908 0.0012682080000558926
200 1.0 "half" 100 29 0.014319667000108893 0.014901624999765772 0.0012300419998609868
200 1.0 "half" 100 30 0.01436233300000822 0.015119416999823443 0.0013194160001148703
300 1.0 "log" 6 1 0.03628945800028305 0.030615166999723442 0.003087459000198578
300 1.0 "log" 6 2 0.03682654199974422 0.014986083999701805 0.0031439579997822875
300 1.0 "log" 6 3 0.03635387499980425 0.00912945900017803 0.004043875000206754
300 1.0 "log" 6 4 0.03551904100004322 0.0214048749999165 0.0030211250000320433
300 1.0 "log" 6 5 0.03686683299974902 0.020838583999648108 0.002750124999693071
300 1.0 "log" 6 6 0.03671404199985773 0.007484125000246422 0.0026916249998976127
300 1.0 "log" 6 7 0.034521666999808076 0.020190124999771797 0.0027068330000474816
300 1.0 "log" 6 8 0.03834320800024216 0.006970375000037166 0.0030206249998627754
300 1.0 "log" 6 9 0.038288958000066486 0.007983583000168437 0.004068875000029948
300 1.0 "log" 6 10 0.03707491700015453 0.006147375000182365 0.0032194169998547295
300 1.0 "log" 6 11 0.03520004099982543 0.022023333000106504 0.0028116670000599697
300 1.0 "log" 6 12 0.03634799999963434 0.010333083999739756 0.0027935419998357247
300 1.0 "log" 6 13 0.03672575000018696 0.010534167000059824 0.0030967080001573777
300 1.0 "log" 6 14 0.03568124999992506 0.020995791999666835 0.002709541999593057
300 1.0 "log" 6 15 0.0339952499998617 0.013349041999845213 0.0024816670002110186
300 1.0 "log" 6 16 0.033600874999592634 0.014449709000018629 0.002644250000230386
300 1.0 "log" 6 17 0.03353225000000748 0.006222084000000905 0.0026355830000284186
300 1.0 "log" 6 18 0.033588958000109415 0.019972417000190035 0.0024947090000750904
300 1.0 "log" 6 19 0.03344162499979575 0.014190124999913678 0.002439166999920417
300 1.0 "log" 6 20 0.03786291699998401 0.0060402089998206066 0.003631125000083557
300 1.0 "log" 6 21 0.037054874999739695 0.008221791999858397 0.0033647909999672265
300 1.0 "log" 6 22 0.03663341700030287 0.006701167000301211 0.003304083000330138
300 1.0 "log" 6 23 0.03659883299997091 0.014824500000031549 0.003169292000166024
300 1.0 "log" 6 24 0.03543629100022372 0.019656583000141836 0.0031190419999802543
300 1.0 "log" 6 25 0.036471124999934545 0.0049985830000878195 0.0025030000001606822
300 1.0 "log" 6 26 0.03702341600001091 0.026366499999767257 0.0028767919998244906
300 1.0 "log" 6 27 0.03634708299978229 0.00500395800008846 0.0032100409998747637
300 1.0 "log" 6 28 0.037344875000144384 0.024662499999976717 0.0030545839999831514
300 1.0 "log" 6 29 0.03659687500021391 0.01867549999997209 0.003171958999701019
300 1.0 "log" 6 30 0.03529395799978374 0.004713166999863461 0.0027199999999538704
300 1.0 "sqrt" 18 1 0.03497616599997855 0.021806917000048998 0.0057800829999905545
300 1.0 "sqrt" 18 2 0.03871816699984265 0.030026165999970544 0.00390529099968262
300 1.0 "sqrt" 18 3 0.03555579200019565 0.02342233399986071 0.0028729579998980626
300 1.0 "sqrt" 18 4 0.03518133299985493 0.029981541999859473 0.004111207999812905
300 1.0 "sqrt" 18 5 0.0366254589998789 0.029382875000010245 0.0030842500000289874
300 1.0 "sqrt" 18 6 0.03440845800014358 0.01925429199991413 0.0028379999998833227
300 1.0 "sqrt" 18 7 0.03404720800017458 0.02779258300006404 0.0027134580000165442
300 1.0 "sqrt" 18 8 0.03393341699984376 0.018809124999734195 0.0026471250002941815
300 1.0 "sqrt" 18 9 0.03351779200011151 0.02306608300023072 0.002801249999720312
300 1.0 "sqrt" 18 10 0.034062707999964914 0.01770974999999453 0.0027500840001266624
300 1.0 "sqrt" 18 11 0.03363070900013554 0.02527995800028293 0.0027313330001561553
300 1.0 "sqrt" 18 12 0.03344462499990186 0.026009500000327535 0.002700667000226531
300 1.0 "sqrt" 18 13 0.0335910420003529 0.02517591600008018 0.0028530829999908747
300 1.0 "sqrt" 18 14 0.0337618339999608 0.029166040999825782 0.0027323340000293683
300 1.0 "sqrt" 18 15 0.03355799999962983 0.020380875000228116 0.002812666999943758
300 1.0 "sqrt" 18 16 0.03595033300007344 0.026368207999894366 0.0031525829999736743
300 1.0 "sqrt" 18 17 0.0378376250000656 0.02036950000001525 0.004931957999815495
300 1.0 "sqrt" 18 18 0.03765829199983273 0.025825875000009546 0.0029405840000436
300 1.0 "sqrt" 18 19 0.03641050000032919 0.026233083000079205 0.002816375000293192
300 1.0 "sqrt" 18 20 0.034483999999793014 0.018788959000175964 0.002866332999929
300 1.0 "sqrt" 18 21 0.03489179100006368 0.022611917000176618 0.0028882910000902484
300 1.0 "sqrt" 18 22 0.03687316700006704 0.024871916999927635 0.0033063750001929293
300 1.0 "sqrt" 18 23 0.03733387500005847 0.035753957999986596 0.0036369169997669815
300 1.0 "sqrt" 18 24 0.037273584000104165 0.025788000000375177 0.0034939160000249103
300 1.0 "sqrt" 18 25 0.037292916999831505 0.02756100000033257 0.00319233299978805
300 1.0 "sqrt" 18 26 0.034968708000178594 0.029231208999590308 0.004063874999701511
300 1.0 "sqrt" 18 27 0.037034916000266094 0.021591209000234812 0.003313707999950566
300 1.0 "sqrt" 18 28 0.03595850000010614 0.035719458000130544 0.003733124999598658
300 1.0 "sqrt" 18 29 0.035007417000088026 0.021049124999990454 0.0028050410001014825
300 1.0 "sqrt" 18 30 0.034210833000088314 0.024738000000070315 0.0027147079999849666
300 1.0 "logsquared" 68 1 0.033636125000157335 0.034146292000059475 0.002829708999797731
300 1.0 "logsquared" 68 2 0.034056333000080485 0.03306254200015246 0.0028243339997970907
300 1.0 "logsquared" 68 3 0.03648370800010525 0.03434504200004085 0.002797708000343846
300 1.0 "logsquared" 68 4 0.03423179099991103 0.033661417000075744 0.0029388329999164853
300 1.0 "logsquared" 68 5 0.03373270800011596 0.0340166659998431 0.002767833000234532
300 1.0 "logsquared" 68 6 0.03380624999999782 0.03450408399976368 0.002790457999708451
300 1.0 "logsquared" 68 7 0.03375608399983321 0.03496858300013628 0.0027893329997823457
300 1.0 "logsquared" 68 8 0.03428104099975826 0.03464350000012928 0.0027412089998506417
300 1.0 "logsquared" 68 9 0.03596500000003289 0.036587000000054104 0.003356457999871054
300 1.0 "logsquared" 68 10 0.034709958999883384 0.03324437499986743 0.002925708000020677
300 1.0 "logsquared" 68 11 0.03480808299991622 0.03500325000004523 0.0030635419998361613
300 1.0 "logsquared" 68 12 0.03435475000014776 0.034025708999706694 0.0027731249997486884
300 1.0 "logsquared" 68 13 0.03374045800001113 0.03448329200000444 0.0028006249999634747
300 1.0 "logsquared" 68 14 0.033759125000415224 0.034532874999968044 0.0027553750001061417
300 1.0 "logsquared" 68 15 0.033979625000029046 0.03183312500004831 0.00281245799988028
300 1.0 "logsquared" 68 16 0.033890458999849216 0.03438516599999275 0.0028037920001224848
