n sigma.fun sigma repl SGSECJ SGSI SGS
300 "logsquared" 68 6 0.0038262079997366527 0.0036482499999692664 0.0026917909999610856
300 "logsquared" 68 7 0.0037807499998052663 0.0036200839999764867 0.0026644999998097774
300 "logsquared" 68 8 0.0038307079998958216 0.003655125000022963 0.002692708999802562
300 "logsquared" 68 9 0.003924291999737761 0.0036831249999522697 0.0027175000000170257
300 "logsquared" 68 10 0.003907750000053056 0.0037109999998392595 0.0027357499998288404
300 "logsquared" 68 11 0.003777249999984633 0.0036401249999471474 0.0026572500000838772
300 "logsquared" 68 12 0.0038516249996973784 0.0036657910000030824 0.002690457999960927
300 "logsquared" 68 13 0.0037786660000165284 0.003614458000356535 0.0026647499998944113
300 "logsquared" 68 14 0.0037945420003779873 0.003641375000370317 0.002696540999750141
300 "logsquared" 68 15 0.0037944160003462457 0.003670249999686348 0.002665500000148313
300 "logsquared" 68 16 0.003783417000249756 0.003624166999998124 0.0026907080000455608
300 "logsquared" 68 17 0.003797415999997611 0.003737083000032726 0.0027131669999107544
300 "logsquared" 68 18 0.0037899159997323295 0.003674542000226211 0.002689709000151197
300 "logsquared" 68 19 0.0037772919999952137 0.0036542090001603356 0.002676667000287125
300 "logsquared" 68 20 0.0038052919999245205 0.0036497500000223226 0.0026872079997701803
300 "logsquared" 68 21 0.0037878329999330163 0.0036264999998820713 0.0026707500001066364
300 "logsquared" 68 22 0.0037917499998911808 0.0036422079997464607 0.002715500000249449
300 "logsquared" 68 23 0.0037959999999657157 0.003624917000252026 0.0026706660000854754
300 "logsquared" 68 24 0.00382229200022266 0.003663250000045082 0.0026925419997496647
300 "logsquared" 68 25 0.0037994580002305156 0.0036650419997386052 0.0027154999997947016
300 "logsquared" 68 26 0.003805834000104369 0.0036637909997807583 0.00271808300021803
300 "logsquared" 68 27 0.0038030840000828903 0.003728958000010607 0.0027286250001452572
300 "logsquared" 68 28 0.003771749999941676 0.0036180410002089047 0.0026809579999280686
300 "logsquared" 68 29 0.003789625000081287 0.0036514170001282764 0.0026795829999173293
300 "logsquared" 68 30 0.00378020900006959 0.003624667000167392 0.0026727919998847938
300 "half" 150 1 0.015778332999616396 0.01546745900031965 0.010395416999926965
300 "half" 150 2 0.015598375000081433 0.015394415999708144 0.010385958999904688
300 "half" 150 3 0.015494415999910416 0.015389500000310363 0.010355584000080853
300 "half" 150 4 0.015577250000205822 0.015319707999879029 0.010485917000096379
300 "half" 150 5 0.015503582999826904 0.015886916999988898 0.010755332999906386
300 "half" 150 6 0.01614216600000873 0.01591041600022436 0.010746208000000479
300 "half" 150 7 0.016256166999937705 0.016410125000220432 0.010969500000101107
300 "half" 150 8 0.017084916999920097 0.016876209000201925 0.010833666999587876
